,CPII
1931-05-31,19.398496732026146
1931-06-30,19.65543046357616
1931-07-31,19.65543046357616
1931-08-31,19.65543046357616
1931-09-30,19.78646666666667
1931-10-31,19.919261744966445
1931-11-30,20.19027210884354
1931-12-31,20.32856164383562
1932-01-31,20.755034965034966
1932-02-29,21.04943262411348
1932-03-31,21.199785714285717
1932-04-30,21.352302158273382
1932-05-31,21.66401459854015
1932-06-30,21.823308823529413
1932-07-31,21.823308823529413
1932-08-31,21.984962962962964
1932-09-30,22.14902985074627
1932-10-31,22.315563909774436
1932-11-30,22.484621212121215
1932-12-31,22.656259541984735
1933-01-31,23.00751937984496
1933-02-28,23.369842519685044
1933-03-31,23.555317460317465
1933-04-30,23.555317460317465
1933-05-31,23.555317460317465
1933-06-30,23.369842519685044
1933-07-31,22.656259541984735
1933-08-31,22.484621212121215
1933-09-30,22.484621212121215
1933-10-31,22.484621212121215
1933-11-30,22.484621212121215
1933-12-31,22.484621212121215
1934-01-31,22.484621212121215
1934-02-28,22.315563909774436
1934-03-31,22.315563909774436
1934-04-30,22.315563909774436
1934-05-31,22.315563909774436
1934-06-30,22.14902985074627
1934-07-31,22.14902985074627
1934-08-31,22.14902985074627
1934-09-30,21.823308823529413
1934-10-31,21.984962962962964
1934-11-30,21.984962962962964
1934-12-31,22.14902985074627
1935-01-31,21.823308823529413
1935-02-28,21.66401459854015
1935-03-31,21.66401459854015
1935-04-30,21.507028985507247
1935-05-31,21.507028985507247
1935-06-30,21.66401459854015
1935-07-31,21.66401459854015
1935-08-31,21.66401459854015
1935-09-30,21.66401459854015
1935-10-31,21.66401459854015
1935-11-30,21.507028985507247
1935-12-31,21.507028985507247
1936-01-31,21.507028985507247
1936-02-29,21.507028985507247
1936-03-31,21.66401459854015
1936-04-30,21.66401459854015
1936-05-31,21.66401459854015
1936-06-30,21.507028985507247
1936-07-31,21.352302158273382
1936-08-31,21.199785714285717
1936-09-30,21.199785714285717
1936-10-31,21.199785714285717
1936-11-30,21.199785714285717
1936-12-31,21.199785714285717
1937-01-31,21.04943262411348
1937-02-28,21.04943262411348
1937-03-31,20.901197183098596
1937-04-30,20.755034965034966
1937-05-31,20.610902777777778
1937-06-30,20.610902777777778
1937-07-31,20.468758620689655
1937-08-31,20.468758620689655
1937-09-30,20.32856164383562
1937-10-31,20.32856164383562
1937-11-30,20.468758620689655
1937-12-31,20.610902777777778
1938-01-31,20.901197183098596
1938-02-28,21.04943262411348
1938-03-31,21.04943262411348
1938-04-30,20.901197183098596
1938-05-31,21.04943262411348
1938-06-30,21.04943262411348
1938-07-31,21.04943262411348
1938-08-31,21.04943262411348
1938-09-30,21.04943262411348
1938-10-31,21.199785714285717
1938-11-30,21.199785714285717
1938-12-31,21.199785714285717
1939-01-31,21.199785714285717
1939-02-28,21.352302158273382
1939-03-31,21.352302158273382
1939-04-30,21.507028985507247
1939-05-31,21.507028985507247
1939-06-30,21.507028985507247
1939-07-31,21.507028985507247
1939-08-31,21.507028985507247
1939-09-30,21.04943262411348
1939-10-31,21.199785714285717
1939-11-30,21.199785714285717
1939-12-31,21.199785714285717
1940-01-31,21.352302158273382
1940-02-29,21.199785714285717
1940-03-31,21.199785714285717
1940-04-30,21.199785714285717
1940-05-31,21.199785714285717
1940-06-30,21.04943262411348
1940-07-31,21.199785714285717
1940-08-31,21.199785714285717
1940-09-30,21.199785714285717
1940-10-31,21.199785714285717
1940-11-30,21.199785714285717
1940-12-31,21.04943262411348
1941-01-31,21.04943262411348
1941-02-28,21.04943262411348
1941-03-31,20.901197183098596
1941-04-30,20.755034965034966
1941-05-31,20.610902777777778
1941-06-30,20.19027210884354
1941-07-31,20.19027210884354
1941-08-31,19.919261744966445
1941-09-30,19.65543046357616
1941-10-31,19.398496732026146
1941-11-30,19.272532467532468
1941-12-31,19.1481935483871
1942-01-31,18.904267515923568
1942-02-28,18.784620253164558
1942-03-31,18.5498125
1942-04-30,18.434596273291927
1942-05-31,18.20840490797546
1942-06-30,18.20840490797546
1942-07-31,18.09737804878049
1942-08-31,17.98769696969697
1942-09-30,17.98769696969697
1942-10-31,17.772275449101798
1942-11-30,17.666488095238098
1942-12-31,17.561952662721897
1943-01-31,17.561952662721897
1943-02-28,17.561952662721897
1943-03-31,17.255639534883723
1943-04-30,17.057298850574714
1943-05-31,16.959828571428574
1943-06-30,16.959828571428574
1943-07-31,17.057298850574714
1943-08-31,17.155895953757227
1943-09-30,17.057298850574714
1943-10-31,17.057298850574714
1943-11-30,17.057298850574714
1943-12-31,17.057298850574714
1944-01-31,17.057298850574714
1944-02-29,17.057298850574714
1944-03-31,17.057298850574714
1944-04-30,16.959828571428574
1944-05-31,16.959828571428574
1944-06-30,16.86346590909091
1944-07-31,16.768192090395484
1944-08-31,16.768192090395484
1944-09-30,16.768192090395484
1944-10-31,16.768192090395484
1944-11-30,16.768192090395484
1944-12-31,16.673988764044946
1945-01-31,16.673988764044946
1945-02-28,16.673988764044946
1945-03-31,16.673988764044946
1945-04-30,16.673988764044946
1945-05-31,16.58083798882682
1945-06-30,16.397624309392267
1945-07-31,16.397624309392267
1945-08-31,16.397624309392267
1945-09-30,16.397624309392267
1945-10-31,16.397624309392267
1945-11-30,16.397624309392267
1945-12-31,16.307527472527475
1946-01-31,16.307527472527475
1946-02-28,16.397624309392267
1946-03-31,16.21841530054645
1946-04-30,16.13027173913044
1946-05-31,16.043081081081084
